Name,Description,Price,Quantity,Discount
Tủ quần áo hiện đại,Phong cách sang trọng cùng với sự tinh tế,15600000,200,0
Tủ trang trí phòng khách,Phong cách sang trọng cùng với sự tinh tế,5600000,200,0
Tủ lưu trữ đa năng,Phong cách sang trọng cùng với sự tinh tế,15600000,200,0
Tủ giày tiện nghi,Phong cách sang trọng cùng với sự tinh tế,15600000,200,0
Tủ kệ phòng ngủ,Phong cách sang trọng cùng với sự tinh tế,16000000,200,0
Tủ trang trí hiện đại,Phong cách sang trọng cùng với sự tinh tế,5600000,200,0
Tủ sách đa năng,Phong cách sang trọng cùng với sự tinh tế,7600000,200,0
Tủ quần áo cao cấp,Phong cách sang trọng cùng với sự tinh tế,15600000,200,0
Tủ cá nhân mini,Phong cách sang trọng cùng với sự tinh tế,15600000,82,20
Tủ cá nhân tiện nghi,Phong cách sang trọng cùng với sự tinh tế,7600000,196,0
Tủ cá nhân đa năng,Phong cách sang trọng cùng với sự tinh tế,7000000,199,0
Tủ cá nhân hiện đại,Phong cách sang trọng cùng với sự tinh tế,5600000,200,0
Tủ cá nhân cao cấp,Phong cách sang trọng cùng với sự tinh tế,5600000,200,0
Tủ cá nhân phong cách Hàn Quốc,Phong cách sang trọng cùng với sự tinh tế,5600000,200,0
Tủ cá nhân tiện ích,Phong cách sang trọng cùng với sự tinh tế,5600000,200,0
Tủ cá nhân sang trọng,Phong cách sang trọng cùng với sự tinh tế,5600000,200,0
Bàn trang điểm hiện đại,Bàn trang điểm với thiết kế sang trọng,21342000,233,0
Bàn trang điểm sang trọng,Bàn trang điểm,21300000,233,20
Bàn trang điểm mini,Bàn trang điểm,2130000,129,0
Tủ hồ sơ văn phòng cao cấp,Tủ hồ sơ,20000000,200,0
Tủ hồ sơ mini,Tủ hồ sơ,2000000,200,0
Tủ hồ sơ 2 ngăn,Tủ hồ sơ,2000000,200,0
Tủ hồ sơ đa năng,Tủ hồ sơ,2000000,200,0
Tủ hồ sơ đứng,Tủ hồ sơ,2000000,-2,0
Tủ hồ sơ tiện lợi,Tủ hồ sơ,2000000,200,0
Tủ hồ sơ sang trọng,Tủ hồ sơ,20000000,200,0
Tủ giầy thông minh,Tủ giầy,23000000,300,0
Tủ giầy gỗ sồi,Tủ giầy,1300000,200,0
Tủ giầy nhiều ngăn,Tủ giầy,3200000,200,0
Tủ giầy hiện đại,Tủ giầy,2300000,200,0
Tủ giầy treo tường,Tủ giầy,2000000,200,0
Tủ quần áo gỗ tự nhiên,Tủ quần áo,2300000,200,0
Tủ quần áo hiện đại,Tủ quần áo,2300000,200,0
Tủ quần áo 2 cánh,Tủ quần áo,230000,200,0
Tủ quần áo lớn,Tủ quần áo,23000000,200,0
Tủ quần áo treo tường,Tủ quần áo,230000,200,0
Bộ Tần Gỗ Mun Đuôi Công 6 Món Tay 12,sang trọng cao cấp,21200000,100,10
